id,user_id,message,is_read,created_at
57,3,Je bent toegevoegd aan Groep #1! Bekijk snel je nieuwe reisgenoten.,true,2025-11-30 11:28:33.19691
58,13,Je bent toegevoegd aan Groep #1! Bekijk snel je nieuwe reisgenoten.,false,2025-11-30 11:28:33.197096
59,10,Je bent toegevoegd aan Groep #1! Bekijk snel je nieuwe reisgenoten.,false,2025-11-30 11:28:33.197219
60,17,Je bent toegevoegd aan Groep #1! Bekijk snel je nieuwe reisgenoten.,false,2025-11-30 11:28:33.197342
61,4,Je bent toegevoegd aan Groep #1! Bekijk snel je nieuwe reisgenoten.,true,2025-11-30 11:28:33.197459
62,7,Je bent toegevoegd aan Groep #1! Bekijk snel je nieuwe reisgenoten.,false,2025-11-30 11:28:33.197564
63,2,Je bent toegevoegd aan Groep #2! Bekijk snel je nieuwe reisgenoten.,false,2025-11-30 11:28:45.664043
64,5,Je bent toegevoegd aan Groep #2! Bekijk snel je nieuwe reisgenoten.,true,2025-11-30 11:28:45.664195
65,9,Je bent toegevoegd aan Groep #3! Bekijk snel je nieuwe reisgenoten.,false,2025-11-30 11:28:58.182746
66,11,Je bent toegevoegd aan Groep #3! Bekijk snel je nieuwe reisgenoten.,false,2025-11-30 11:28:58.182884
67,12,Je bent toegevoegd aan Groep #4! Bekijk snel je nieuwe reisgenoten.,false,2025-11-30 11:29:57.533756
68,15,Je bent toegevoegd aan Groep #4! Bekijk snel je nieuwe reisgenoten.,false,2025-11-30 11:29:57.533864
69,16,Je bent toegevoegd aan Groep #4! Bekijk snel je nieuwe reisgenoten.,false,2025-11-30 11:29:57.534073
70,14,Je bent toegevoegd aan Groep #4! Bekijk snel je nieuwe reisgenoten.,false,2025-11-30 11:29:57.534155
71,8,Je bent toegevoegd aan Groep #4! Bekijk snel je nieuwe reisgenoten.,false,2025-11-30 11:29:57.53423
72,1,Je bent toegevoegd aan Groep #5! Bekijk snel je nieuwe reisgenoten.,true,2025-11-30 11:30:07.075074
73,1,"Helaas, de groep waarin je zat is opgeheven door de organisator.",true,2025-11-30 11:30:27.344507
74,3,"Helaas, de groep waarin je zat is opgeheven door de organisator.",true,2025-11-30 11:30:31.132842
75,13,"Helaas, de groep waarin je zat is opgeheven door de organisator.",false,2025-11-30 11:30:31.184897
76,10,"Helaas, de groep waarin je zat is opgeheven door de organisator.",false,2025-11-30 11:30:31.235992
77,17,"Helaas, de groep waarin je zat is opgeheven door de organisator.",false,2025-11-30 11:30:31.287905
78,4,"Helaas, de groep waarin je zat is opgeheven door de organisator.",true,2025-11-30 11:30:31.343935
79,7,"Helaas, de groep waarin je zat is opgeheven door de organisator.",false,2025-11-30 11:30:31.394844
80,2,"Helaas, de groep waarin je zat is opgeheven door de organisator.",false,2025-11-30 11:30:34.430826
81,5,"Helaas, de groep waarin je zat is opgeheven door de organisator.",true,2025-11-30 11:30:34.484357
82,9,"Helaas, de groep waarin je zat is opgeheven door de organisator.",false,2025-11-30 11:30:37.837811
83,11,"Helaas, de groep waarin je zat is opgeheven door de organisator.",false,2025-11-30 11:30:37.895878
84,12,"Helaas, de groep waarin je zat is opgeheven door de organisator.",false,2025-11-30 11:30:40.758162
85,15,"Helaas, de groep waarin je zat is opgeheven door de organisator.",false,2025-11-30 11:30:40.812404
86,16,"Helaas, de groep waarin je zat is opgeheven door de organisator.",false,2025-11-30 11:30:40.866054
87,14,"Helaas, de groep waarin je zat is opgeheven door de organisator.",false,2025-11-30 11:30:40.923028
88,8,"Helaas, de groep waarin je zat is opgeheven door de organisator.",false,2025-11-30 11:30:40.977686
